quantity,price_at_purchase,price,amount,category,payment_method,transaction_status,review_category
1,955.86,940.82,3.0,3,0,0,0
1,984.91,180.06,766.8,1,0,0,0
1,649.18,856.78,69.57,3,0,0,0
1,54.83,445.01,915.7,2,0,0,1
1,54.83,445.01,915.7,2,0,0,1
1,54.83,445.01,915.7,2,0,0,1
1,54.83,445.01,915.7,2,0,0,1
1,54.83,445.01,915.7,2,0,0,1
1,54.83,445.01,915.7,2,0,0,1
1,54.83,445.01,915.7,2,0,0,1
1,320.24,764.34,26.58,1,0,0,0
1,555.05,388.55,159.72,3,0,1,0
1,308.21,587.62,31.18,0,0,0,0
1,957.72,923.37,240.75,0,0,0,0
1,934.52,73.21,421.33,1,0,0,0
1,488.16,148.47,332.34,1,0,0,0
1,388.08,491.82,31.78,0,0,0,0
1,24.32,256.21,228.15,0,0,0,0
1,42.33,709.67,329.94,0,0,0,0
1,43.54,733.41,60.66,1,0,0,0
1,44.45,980.89,740.97,1,0,0,0
1,735.84,972.74,140.2,1,0,0,0
1,620.96,132.79,359.52,1,0,0,0
1,812.89,842.04,937.4,3,0,0,0
1,241.51,289.76,202.1,3,0,0,0
1,123.95,462.11,975.2,0,0,0,0
1,206.41,546.06,128.16,1,0,0,0
1,459.13,163.03,249.9,1,0,1,0
1,423.73,676.14,226.8,1,0,0,0
1,111.23,330.42,30.12,3,0,0,0
1,677.87,831.29,153.52,1,0,0,0
1,465.42,490.32,142.96,1,0,0,0
1,475.69,397.75,73.59,1,0,0,0
1,432.37,269.61,436.24,3,0,0,0
1,675.62,704.55,800.1,2,0,0,0
1,675.62,704.55,800.1,2,0,0,0
1,675.62,704.55,800.1,2,0,0,0
1,675.62,704.55,800.1,2,0,0,0
1,675.62,704.55,800.1,2,0,0,0
1,675.62,704.55,800.1,2,0,0,0
1,675.62,704.55,800.1,2,0,0,0
1,516.94,129.46,305.58,0,0,0,0
1,758.96,494.24,620.8,0,0,2,0
1,148.35,346.57,30.72,0,0,0,0
1,148.35,346.57,30.72,0,0,0,0
1,148.35,346.57,30.72,0,0,0,0
1,148.35,346.57,30.72,0,0,0,0
1,148.35,346.57,30.72,0,0,0,0
1,148.35,346.57,30.72,0,0,0,0
1,148.35,346.57,30.72,0,0,0,0
1,693.67,182.82,765.9,1,0,0,0
1,721.84,493.65,935.7,0,0,0,0
1,954.23,731.75,25.46,3,0,1,0
1,913.78,187.29,486.78,0,0,0,0
1,507.4,287.91,223.25,1,0,2,0
1,766.87,790.99,778.95,0,0,0,0
1,314.02,136.29,237.25,1,0,0,0
1,394.39,832.02,987.8,3,0,1,0
1,630.44,482.98,614.56,3,0,0,0
1,386.69,564.21,0.67,3,0,0,0
1,405.54,444.69,967.8,3,0,1,0
1,127.98,476.77,991.5,1,0,0,0
1,826.56,211.92,488.67,3,0,0,0
1,422.47,70.66,4.85,1,0,0,0
1,854.47,968.69,37.42,2,0,0,0
1,730.52,109.49,632.0,0,0,2,0
1,612.09,242.55,627.84,3,0,2,0
1,850.01,620.87,36.06,1,0,0,0
1,850.01,620.87,36.06,1,0,0,0
1,850.01,620.87,36.06,1,0,0,0
1,850.01,620.87,36.06,1,0,0,0
1,850.01,620.87,36.06,1,0,0,0
1,850.01,620.87,36.06,1,0,0,0
1,850.01,620.87,36.06,1,0,0,0
1,867.92,38.88,136.96,0,0,0,0
1,52.13,648.43,149.72,2,0,0,1
1,52.13,648.43,149.72,2,0,0,1
1,52.13,648.43,149.72,2,0,0,1
1,52.13,648.43,149.72,2,0,0,1
1,52.13,648.43,149.72,2,0,0,1
1,52.13,648.43,149.72,2,0,0,1
1,52.13,648.43,149.72,2,0,0,1
1,762.91,864.9,478.45,1,0,2,0
1,354.92,843.88,595.92,3,0,0,0
1,871.23,854.6,84.06,1,0,2,0
1,54.56,279.71,83.46,0,0,0,0
1,51.47,666.27,120.76,0,0,0,0
1,456.7,503.29,3.13,0,0,2,0
1,912.58,661.38,244.25,1,0,2,0
1,189.93,602.3,570.0,1,0,0,0
1,654.15,389.19,356.58,1,0,0,0
1,935.29,134.99,464.03,0,0,0,0
1,836.12,985.24,300.84,0,0,2,0
1,695.96,534.78,5.41,1,0,0,0
1,274.48,389.9,754.29,3,0,2,0
1,58.58,187.45,146.24,0,0,0,0
1,463.7,842.29,224.55,3,0,0,0
1,564.88,436.54,218.55,0,0,0,0
1,366.11,315.93,71.97,2,0,0,0
1,791.36,513.82,581.92,1,0,0,0
1,331.96,457.35,475.3,1,0,0,0
1,623.7,388.55,339.66,3,0,0,0
1,554.63,384.19,306.12,1,0,0,0
1,126.97,129.46,69.0,0,0,0,0
1,405.58,379.32,334.98,0,0,1,0
1,597.64,675.3,39.62,1,0,0,0
1,439.18,601.0,61.86,1,0,0,0
1,170.56,38.88,910.3,0,0,0,0
1,902.78,635.35,206.25,2,0,0,0
1,213.19,430.14,326.04,3,0,0,0
1,108.56,608.78,31.36,1,0,2,0
1,921.78,696.52,328.44,1,0,0,0
1,283.22,762.64,602.32,1,0,0,0
1,67.79,549.23,86.1,1,0,2,0
1,785.89,269.25,976.3,1,0,1,0
1,326.87,122.74,472.43,1,0,0,0
1,751.15,265.17,219.55,0,0,0,0
1,625.83,355.12,145.2,1,0,1,0
1,991.71,916.26,468.37,3,0,0,0
1,991.71,916.26,468.37,3,0,0,0
1,991.71,916.26,468.37,3,0,0,0
1,991.71,916.26,468.37,3,0,0,0
1,991.71,916.26,468.37,3,0,0,0
1,991.71,916.26,468.37,3,0,0,0
1,991.71,916.26,468.37,3,0,0,0
1,20.95,254.38,474.04,0,0,0,0
1,419.09,929.66,135.28,0,0,0,0
1,690.08,599.96,451.92,0,0,0,0
1,690.08,599.96,451.92,0,0,0,0
1,690.08,599.96,451.92,0,0,0,0
1,690.08,599.96,451.92,0,0,0,0
1,690.08,599.96,451.92,0,0,0,0
1,690.08,599.96,451.92,0,0,0,0
1,690.08,599.96,451.92,0,0,0,0
1,855.64,869.17,88.56,3,0,0,0
1,668.39,324.25,72.9,1,0,1,0
1,750.78,202.99,467.46,3,0,0,0
1,390.76,300.28,243.0,3,0,0,0
1,595.68,767.97,324.6,3,0,0,0
1,672.59,260.18,239.4,1,0,0,0
1,210.36,864.32,473.62,3,0,0,0
1,828.39,289.2,730.35,3,0,0,0
1,92.9,54.43,209.65,2,0,0,0
1,307.27,681.13,151.0,2,0,0,0
1,735.08,525.95,462.63,3,0,0,0
1,33.26,878.54,85.71,0,0,2,0
1,487.73,674.61,5.35,0,0,2,0
1,487.73,674.61,5.35,0,0,2,0
1,487.73,674.61,5.35,0,0,2,0
1,487.73,674.61,5.35,0,0,2,0
